DSJ_NO,DSJ_BAG_NO,DSJ_HVO_NO,DSJ_UID,DSJ_CDATE
CGK/DO/03390150,CGK843/24986320,CGK/HVO/11205871,TANRIFD,2026-01-05 20:16:31
DPS/DO/00201107,DPS057/24985952,DPS/HVO/00509058,KADEKEGA,2026-01-05 20:29:47
JBR/DO/00077218,JBR109/24986307,JBR/HVO/00186574,RIGUSTA,2026-01-05 20:33:09
CGK/DO/03391857,CGK843/24997185,CGK/HVO/11213533,TANRIFD,2026-01-06 17:32:47
DPS/DO/00201137,DPS033/24986729,DPS/HVO/00509077,AINUNDPS,2026-01-05 23:48:58
BOO/DO/00466506,BOO329/24994058,BOO/HVO/01107819,ZIDANBOO,2026-01-06 12:44:53
SUB/DO/00409894,SUB307/24993554,SUB/HVO/01336393,KITOSO,2026-01-06 12:50:24
SUB/DO/00409894,SUB307/24993583,SUB/HVO/01336393,KITOSO,2026-01-06 12:50:24
SUB/DO/00409894,SUB307/24993765,SUB/HVO/01336393,KITOSO,2026-01-06 12:50:24
SUB/DO/00409894,SUB307/24993955,SUB/HVO/01336393,KITOSO,2026-01-06 12:50:24
CLG/DO/00814764,CLG002/24992863,CLG/HVO/01106119,AMARCLG,2026-01-06 13:14:37
